time,voltage,rpm,direction
7.16,1,0,up
7.17,1,0,up
7.18,1,0,up
7.19,1,0,up
7.2,1,0,up
7.21,1,0,up
7.22,1,0,up
7.23,1,0,up
7.24,1,0,up
7.25,1,0,up
7.26,1,0,up
7.27,1,0,up
7.28,1,0,up
7.29,1,0,up
7.3,1,0,up
7.31,1,0,up
7.32,1,0,up
7.33,1,0,up
7.34,1,0,up
7.35,1,0,up
7.36,1,0,up
7.37,1,0,up
7.38,1,0,up
7.39,1,0,up
7.4,1,0,up
7.41,1,0,up
7.42,1,0,up
7.43,1,0,up
7.44,1,0,up
7.45,1,0,up
7.46,1,0,up
7.47,1,0,up
7.48,1,0,up
7.49,1,0,up
7.5,1,0,up
7.51,1,0,up
7.52,1,0,up
7.53,1,0,up
7.54,1,0,up
7.55,1,0,up
7.56,1,0,up
7.57,1,0,up
7.58,1,0,up
7.59,1,0,up
7.6,1,0,up
7.61,1,0,up
7.62,1,0,up
7.63,1,0,up
7.64,1,0,up
7.65,1,0,up
7.66,1,0,up
7.67,1,0,up
7.68,1,0,up
7.69,1,0,up
7.7,1,0,up
7.71,1,0,up
7.72,1,0,up
7.73,1,0,up
7.74,1,0,up
7.75,1,0,up
7.76,1,0,up
7.77,1,0,up
7.78,1,0,up
7.79,1,0,up
7.8,1,0,up
7.81,1,0,up
7.82,1,0,up
7.83,1,0,up
7.84,1,0,up
7.85,1,0,up
7.86,1,0,up
7.87,1,0,up
7.88,1,0,up
7.89,1,0,up
7.9,1,0,up
7.91,1,0,up
7.92,1,0,up
7.93,1,0,up
7.94,1,0,up
7.95,1,0,up
7.96,1,0,up
7.97,1,0,up
7.98,1,0,up
7.99,1,0,up
8,1,0,up
8.01,1,0,up
8.02,1,0,up
8.03,1,0,up
8.04,1,0,up
8.05,1,0,up
8.06,1,0,up
8.07,1,0,up
8.08,1,0,up
8.09,1,0,up
8.1,1,0,up
8.11,1,0,up
8.12,1,0,up
8.13,1,0,up
8.14,1,0,up
8.15,1,0,up
8.16,1,0,up
8.17,1,0,up
8.18,1,0,up
8.19,1,0,up
8.2,1,0,up
8.21,1,0,up
8.22,1,0,up
8.23,1,0,up
8.24,1,0,up
8.25,1,0,up
8.26,1,0,up
8.27,1,0,up
8.28,1,0,up
8.29,1,0,up
8.3,1,0,up
8.31,1,0,up
8.32,1,0,up
8.33,1,0,up
8.34,1,0,up
8.35,1,0,up
8.36,1,0,up
8.37,1,0,up
8.38,1,0,up
8.39,1,0,up
8.4,1,0,up
8.41,1,0,up
8.42,1,0,up
8.43,1,0,up
8.44,1,0,up
8.45,1,0,up
8.46,1,0,up
8.47,1,0,up
8.48,1,0,up
8.49,1,0,up
8.5,1,0,up
8.51,1,0,up
8.52,1,0,up
8.53,1,0,up
8.54,1,0,up
8.55,1,0,up
8.56,1,0,up
8.57,1,0,up
8.58,1,0,up
8.59,1,0,up
8.6,1,0,up
8.61,1,0,up
8.62,1,0,up
8.63,1,0,up
8.64,1,0,up
8.65,1,0,up
8.66,1,0,up
8.67,1,0,up
8.68,1,0,up
8.69,1,0,up
8.7,1,0,up
8.71,1,0,up
8.72,1,0,up
8.73,1,0,up
8.74,1,0,up
8.75,1,0,up
8.76,1,0,up
8.77,1,0,up
8.78,1,0,up
8.79,1,0,up
8.8,1,0,up
8.81,1,0,up
8.82,1,0,up
8.83,1,0,up
8.84,1,0,up
8.85,1,0,up
8.86,1,0,up
8.87,1,0,up
8.88,1,0,up
8.89,1,0,up
8.9,1,0,up
8.91,1,0,up
8.92,1,0,up
8.93,1,0,up
8.94,1,0,up
8.95,1,0,up
8.96,1,0,up
8.97,1,0,up
8.98,1,0,up
8.99,1,0,up
9,1.5,0,up
9.01,1.5,0,up
9.02,1.5,0,up
9.03,1.5,0,up
9.04,1.5,0,up
